DOI,COUNTRY
10.1080/15980316.2019.1572662,Korea
10.1080/15980316.2019.1606859,Turkey
10.1080/16864360.2016.1273584,Italia
10.1080/17483107.2016.1176259,New Zealand
10.1080/17483107.2019.1688398,USA
10.1080/17483107.2020.1765419,USA
10.1080/17503280.2018.1503859,New Zealand
10.1080/17571472.2018.1483000,HongKong
10.1080/19439962.2015.1046621,Sweden
10.1080/21681163.2017.1343687,Australia
10.1089/10949310050078788,Germany
10.1089/10949310050078805,Germany
10.1089/10949310050078940,USA
10.1089/109493101300117910,UK
10.1089/109493101300117938,UK
10.1089/109493102753685890,HongKong
10.1089/109493102753770516,Korea
10.1089/109493103322011542,USA
10.1089/109493103322011605,USA
10.1089/109493103769710505,Canada
10.1089/cpb.2004.7.519,Korea
10.1089/cpb.2004.7.734,Spain
10.1089/cpb.2006.9.137,UK
10.1089/cpb.2006.9.207,USA
10.1089/cpb.2006.9.388,Sweden
10.1089/cpb.2006.9.591,USA
10.1089/cpb.2007.0116,Korea
10.1089/cpb.2007.9996,Germany
10.1089/cpb.2008.0003,Korea
10.1089/cpb.2009.0118,Canada
10.1089/cyber.2009.0263,USA
10.1089/cyber.2014.0046,Korea
10.1089/cyber.2014.0058,USA
10.1089/cyber.2015.0130,Portugal
10.1089/cyber.2017.0174,Netherlands
10.1089/cyber.2017.0499,Japan
10.1089/cyber.2017.0714,Mexico
10.1089/cyber.2018.0027,USA
10.1089/cyber.2019.0206,UK
10.1089/cyber.2020.29183.gri,Italia
10.1089/end.2018.0626,USA
10.1089/g4h.2017.0114,Spain
10.1089/g4h.2017.0190,USA
10.1089/g4h.2019.0102,China
10.1093/comjnl/bxx117,China
10.1093/iwc/iwz018,Spain
10.1093/iwc/iwz033,Australia
10.1093/pm/pny269,Japan
10.1098/rstb.2010.0209,UK
10.1109/mcg.2017.2801407,Spain
10.1109/mcg.2018.021951628,USA
10.1109/mcg.2018.111125628,Denmark
10.1109/mcg.2018.2875609,France
10.1109/mcg.2018.2884272,Spain
10.1109/mcg.2018.2875609,Germany
10.1109/mcg.2019.2915717,China
10.1109/mcg.2019.2936753,Taiwan
10.1109/mcse.2020.2972822,Australia
10.1111/cgf.12956,Germany
10.1111/cgf.13026,Germany
10.1111/cgf.13654,UK
10.1111/desc.12557,UK
10.1111/ejn.13545,Italia
10.1111/ejn.14499,UK
10.1111/jspn.12201,Poland
10.1111/psyp.13090,USA
10.1111/rssa.12381,USA
10.1111/sms.13453,UK
10.1115/1.4027114,Canada
10.1115/1.4033230,Italia
10.1115/1.4041428,USA
10.1115/1.4043068,Italia
10.1117/1.jei.28.1.013019,Tunisia
10.1119/1.5080224,USA
10.1142/s1793351x19400166,Norway
10.1142/s1793962318400020,France
10.1145/1227134.1227139,USA
10.1145/1265957.1265961,USA
10.1145/1278387.1278392,USA
10.1145/1498700.1498702,USA
10.1145/159161.173948,Canada
10.1145/159544.159587,USA
10.1145/1823738.1823744,USA
10.1145/2134203.2134206,Spain
10.1145/2508363.2508366,USA
10.1145/2699254,Germany
10.1145/2720020,USA
10.1145/2766939,USA
10.1145/2897824.2925883,USA
10.1145/2971320,Sweden
10.1145/2980179.2980246,USA
10.1145/2980179.2980252,USA
10.1145/2983530,UK
10.1145/3072959.3073624,USA
10.1145/3072959.3073645,USA
10.1145/3106155,Iowa
10.1145/3182644,Germany
10.1145/3197517.3201335,Germany
10.1145/3205864,USA
10.1145/3209661,USA
10.1145/3229316.3229320,USA
10.1145/3230648,Germany
10.1145/3232678,USA
10.1145/3238301,Germany
10.1145/3238303,Germany
10.1145/3265755,USA
10.1145/3313902,USA
10.1145/3329119,Taiwan
10.1145/3335053,Finland
10.1145/3355089.3356490,USA
10.1145/3355089.3356517,USA
10.1145/3355089.3356530,Germany
10.1145/3355089.3356552,UK
10.1145/3355089.3356557,USA
10.1145/3362101,Belgium
10.1155/2014/206082,USA
10.1155/2018/2585797,Korea
10.1155/2018/4798359,Romania
10.1155/2019/9680697,Korea
10.1162/1054746011470226,USA
10.1162/1054746011470271,USA
10.1162/1054746053967012,Israel
10.1162/105474698565811,Japan
10.1162/105474699566152,UK
10.1162/105474699566341,Italia
10.1162/comj_a_00372,Denmark
10.1162/leon_a_01641,Canada
10.1162/netn_a_00044,USA
10.1162/pres.15.5.588,Japan
10.1162/pres.16.4.399,USA
10.1162/pres.17.6.575,Taiwan
10.1162/pres.18.3.232,Spain
10.1162/pres.1997.6.1.118,USA
10.1162/pres_a_00005,USA
10.1162/pres_a_00016,USA
10.1162/pres_a_00048,Italia
10.1162/pres_a_00089,France
10.1162/pres_a_00111,Netherlands
10.1162/pres_a_00318,Germany
10.1163/22134808-20201445,Czech
10.1167/17.9.11,UK
10.1167/18.9.1,USA
10.1167/tvst.7.4.2,Switzerland
10.1167/tvst.8.1.23,USA
10.1177/0018720819835088,USA
10.1177/0018720819836343,Netherlands
10.1177/0018720819867501,Korea
10.1177/0031512519857869,Japan
10.1177/0269215511419383,Korea
10.1177/0269215518788598,Italia
10.1177/0278364919842925,USA
10.1177/0361198118758311,USA
10.1177/0735633119854025,USA
10.1177/0735633119854030,Turkey
10.1177/1046878118820905,Canada
10.1177/1063293x04042469,Italia
10.1177/1354856517738171,Australia
10.1177/1471301219868036,UK
10.1177/1550147719894533,Korea
10.1177/1553350618761756,Germany
10.1177/1553350618822860,Italia
10.1177/1729881417751545,Czech
10.1177/1937586720924787,USA
10.1177/2041669517708205,Germany
10.1177/2049463717698349,Australia
10.1177/2055668320913770,Canada
10.1200/jgo.18.00263,USA
10.1250/ast.40.265,Japan
10.12659/msm.915284,Korea
10.1515/sjpain-2018-0123,USA
10.1518/001872007779598028,Germany
10.1518/001872097778827070,USA
10.1518/001872099779611067,HongKong
10.1518/hfes.46.1.142.30384,Singapore
10.1585/pfr.11.2406060,Japan
10.1587/transinf.2015edp7165,USA
10.1587/transinf.2016edl8028,Korea
10.17759/exppsy.2015080205,Russia
10.3130/jaabe.6.57,Japan
10.3138/cjfs.28.1.2019-0012,Canada
10.3233/ica-180586,China
10.3233/ves-190650,USA
10.3233/ves-190660,India
10.3233/wor-2012-0442-2201,Germany
10.3341/jkos.2020.61.2.125,Korea
10.4015/s1016237212500391,Taiwan
10.4018/ijmbl.2016100104,New Zealand
10.4218/etrij.2019-0284,Korea
10.6036/8816,Spain
10.7717/peerj.337,Netherlands
10.7717/peerj.5844,Italia
10.7717/peerj.5847,France
