DOI,Titel,Feld,Thema,HMD
10.1080/10494820.2019.1703008,A virtual reality role-playing serious game for experiential learning,Bildungswesen,Training,Oculus Rift DK2
10.1108/LHT-08-2019-0166,An environmental scan of virtual and augmented reality services in academic libraries,Bildungswesen,Image of VR / Use of VR,
10.1016/j.jbiomech.2019.109379,A quantitative method for evaluation of 6 degree of freedom virtual reality systems,Softwareentwicklung,Tracking / Motion Capturing (Evaluation),HTC Vive
10.1016/j.displa.2019.08.003,"Effects of postural stability, active control, exposure duration and repeated exposures on HMD induced cybersickness",Psychology / Human factors,Cybersickness / Fatigue,
10.1016/j.jmapro.2019.10.016,Virtual reality human-robot collaborative welding: A case study of weaving gas tungsten arc welding,Manufacturing,Remote Control / Digital Twin,HTC Vive
10.1016/j.humov.2019.102526,Weighting and reweighting of visual input via head mounted display given unilateral peripheral vestibular dysfunction,Human biology,Balance,Oculus Rift
10.1177/0018720819835088,The Validity of an Oculus Rift to Assess Postural Changes During Balance Tasks,Psychology / Human factors,Balance,Oculus Rift
10.1007/s10055-018-0376-x,Do virtual reality head-mounted displays make a difference? A comparison of presence and self-efficacy between head-mounted displays and desktop computer-facilitated virtual environments,Hardwareentwicklung und Evaluation,Presence,
10.1177/0735633119854025,Transforming Earth Science Education Through Immersive Experiences: Delivering on a Long Held Promise,Bildungswesen,Training,HTC Vive
10.1007/s10055-019-00412-x,Game play in virtual reality driving simulation involving head-mounted display and comparison to desktop display,Hardwareentwicklung und Evaluation,Movement / Navigation,Oculus Rift 
10.14716/ijtech.v10i7.3259,REAL-TIME VOLUME RENDERING INTERACTION IN VIRTUAL REALITY,Softwareentwicklung,Visualisation,
10.3389/fnhum.2019.00417,Validation of the Virtual Reality Neuroscience Questionnaire: Maximum Duration of Immersive Virtual Reality Sessions Without the Presence of Pertinent Adverse Symptomatology,Psychology / Human factors,Cybersickness / Fatigue,
10.1007/s10055-019-00409-6,The impact of the input interface in a virtual environment: the Vive controller and the Myo armband,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,HTC Vive & Myo
10.3389/fnhum.2019.00401,Estimating Cognitive Workload in an Interactive Virtual Reality Environment Using EEG,Psychology / Human factors,Measurement of body functions,
10.1080/17483107.2019.1688398,Quantitative analysis of the Oculus Rift S in controlled movement,Hardwareentwicklung und Evaluation,Tracking / Motion Capturing (Evaluation),Oculus Rift
10.1007/s12065-019-00314-6,The application of augmented reality and unity 3D in interaction with intangible cultural heritage,,,
10.1007/s10055-019-00407-8,Effects of steering locomotion and teleporting on cybersickness and presence in HMD-based virtual reality,Hardwareentwicklung und Evaluation,Movement / Navigation,
10.1002/cav.1873,Mobile-powered head-mounted displays versus cave automatic virtual environment experiments for evacuation research,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.3390/su11226453,A Novel Head Mounted Display Based Methodology for Balance Evaluation and Rehabilitation,Hardwareentwicklung und Evaluation,Balance,
10.3390/ijerph16224406,Virtual Reality Gaming Elevates Heart Rate but Not Energy Expenditure Compared to Conventional Exercise in Adult Males,Human biology,Measurement of body functions,HTC Vive
10.1016/j.heliyon.2019.e02583,Virtual skills training: the role of presence and agency,Hardwareentwicklung und Evaluation,Training,Oculus Rift
10.21053/ceo.2018.01592,Feasibility of Eye Tracking Assisted Vestibular Rehabilitation Strategy Using Immersive Virtual Reality,Medizin,Rehabilitation / Treatment,
10.12659/MSM.915284,"The Effects of Viewing Smart Devices on Static Balance, Oculomotor Function, and Dizziness in Healthy Adults",Human biology,Balance,
10.1080/17453054.2019.1671813,Exploration of temporal bone anatomy using mixed reality (HoloLens): development of a mixed reality anatomy teaching resource prototype,,,
10.1186/s12984-019-0601-1,Advantages of using 3D virtual reality based training in persons with Parkinson's disease: a parallel study,Medizin,Rehabilitation / Treatment,Oculus Rift CV1
10.1007/s11042-019-08220-w,RoleVR: Multi-experience in immersive virtual reality between co-located HMD and non-HMD users,Hardwareentwicklung und Evaluation,Collaboration / Interaction,
10.1016/j.compedu.2019.103600,A case study of immersive virtual field trips in an elementary classroom: Students' learning experience and teacher-student interaction behaviors,Bildungswesen,Collaboration / Interaction,
10.1177/0278364919842925,Communicating and controlling robot arm motion intent through mixed-reality head-mounted displays,,,
10.1016/j.autcon.2019.102884,User-centered interior finishing material selection: An immersive virtual reality-based interactive approach,Bauwesen / Architektur,Visual perception,
10.1109/JSEN.2019.2921644,Automatic Calibration of a Six-Degrees-of-Freedom Pose Estimation System,Hardwareentwicklung und Evaluation,Measurement of body functions,HTC Vive
10.1007/s10956-019-09781-z,I'm a Computer Scientist!: Virtual Reality Experience Influences Stereotype Threat and STEM Motivation Among Undergraduate Women,Bildungswesen,Emotions / Empathy / Fear,HTC Vive
10.1016/j.buildenv.2019.106285,Spatial perception of ceiling height and type variation in immersive virtual environments,Bauwesen / Architektur,Visual perception,Oculus Rift CV1
10.1177/1471301219868036,Bringing the outside in: The feasibility of virtual reality with people with dementia in an inpatient psychiatric care setting,Psychology / Human factors,Rehabilitation / Treatment,
10.1089/cyber.2019.0206,"Using Virtual Reality Head-Mounted Displays in Schools with Autistic Children: Views, Experiences, and Future Directions",Psychology / Human factors,Emotions / Empathy / Fear,HTC Vive
10.2196/13887,An Immersive Virtual Reality Platform for Assessing Spatial Navigation Memory in Predementia Screening: Feasibility and Usability Study,Psychology / Human factors,Memory Assessment,Oculus Rift
10.1364/OE.27.024877,Transverse chromatic aberration in virtual reality head-mounted displays,Softwareentwicklung,Visualisation,"Oculus Go, Oculus Rift, Samsung Gear VR, HTC Vive"
10.1093/iwc/iwz033,Augmented Experiences: Investigating the Feasibility of Virtual Reality as Part of a Workplace Wellbeing Intervention,Psychology / Human factors,Emotions / Empathy / Fear,Oculus Rift
10.1007/s10015-019-00536-y,Emotional evaluation for pictures displayed with small FOV telescope environment in virtual reality headset,Psychology / Human factors,Emotions / Empathy / Fear,
10.1109/TNSRE.2019.2931778,Estimating Forearm Axial Rotation Using Vive Trackers for Interaction With Serious Games,Softwareentwicklung,Tracking / Motion Capturing (Evaluation),HTC Vive
10.1007/s10055-018-0348-1,Behavioural intentions of using virtual reality in learning: perspectives of acceptance of information technology and learning style,,,
10.1115/1.4043068,An Olfactory Display to Study the Integration of Vision and Olfaction in a Virtual Reality Environment,Hardwareentwicklung und Evaluation,Olfactory perception,
10.1016/j.apergo.2019.04.001,Evaluation of a virtual reality head mounted display as a tool for posture assessment in digital human modelling software,Ergonomie,Measurement of body functions,Oculus Rift
10.1080/10447318.2018.1519164,Effects of Travel Modes on Performances and User Comfort: A Comparison between ArmSwinger and Teleporting,Hardwareentwicklung und Evaluation,Movement / Navigation,HTC Vive
10.3389/fnagi.2019.00218,"Cycling and Spatial Navigation in an Enriched, Immersive 3D Virtual Park Environment: A Feasibility Study in Younger and Older Adults",Psychology / Human factors,Rehabilitation / Treatment,
10.1177/0018720819867501,Effects of Initial Starting Distance and Gap Characteristics on Children's and Young Adults' Velocity Regulation When Intercepting Moving Gaps,Psychology / Human factors,Movement / Navigation,Oculus Rift
10.1145/3313902,Visual Stabilization of Balance in Virtual Reality Using the HTC Vive,Ergonomie,Balance,HTC Vive
10.1016/j.entcom.2019.100308,Impact of different immersive techniques on the perceived sense of presence measured via subjective scales,Hardwareentwicklung und Evaluation,Presence,
10.3390/jcm8081153,Cue-Elicited Anxiety and Alcohol Craving as Indicators of the Validity of ALCO-VR Software: A Virtual Reality Study,Medizin,Rehabilitation / Treatment,
10.1016/j.jflm.2019.06.005,Digital restoration of fragmentary human skeletal remains: Testing the feasibility of virtual reality,Medizin,Visualisation,HTC Vive
10.1080/10494820.2019.1641525,Examining the impact of head-mounted display virtual reality on the science self-efficacy of high schoolers,Bildungswesen,Emotions / Empathy / Fear,
10.3389/frobt.2019.00050,Desktop VR Is Better Than Non-ambulatory HMD VR for Spatial Learning,Hardwareentwicklung und Evaluation,Training,Oculus Rift
10.1109/TLT.2019.2926727,Collaborative Educational Environments Incorporating Mixed Reality Technologies: A Systematic Mapping Study,,,
10.1016/j.ergon.2019.06.013,Effects of displays on a direct reaching task: A comparative study of head mounted display and stereoscopic widescreen display,Ergonomie,Haptics / Physical interaction,HTC Vive
10.1016/j.diin.2019.04.007,Inception: Virtual Space in Memory Space in Real Space - Memory Forensics of Immersive Virtual Reality with the HTC Vive,Softwareentwicklung,Security,HTC Vive
10.1109/LRA.2019.2921928,Modeling of Human Welders' Operations in Virtual Reality Human-Robot Interaction,Manufacturing,Remote Control / Digital Twin,HTC Vive
10.1016/j.displa.2018.07.001,Postural stability predicts the likelihood of cybersickness in active HMD-based virtual reality,Psychology / Human factors,Cybersickness / Fatigue,
10.1016/j.displa.2018.10.001,Vection does not necessitate visually induced motion sickness,Psychology / Human factors,Cybersickness / Fatigue,
10.1109/MCG.2019.2915717,Follow the Smoke: Immersive Display of Motion Data With Synthesized Smoke,Softwareentwicklung,Visualisation,
10.1007/s11548-019-01992-4,Accuracy assessment for the co-registration between optical and VIVE head-mounted display tracking,Hardwareentwicklung und Evaluation,Tracking / Motion Capturing (Evaluation),HTC Vive
10.1016/j.jbusres.2019.01.017,"Exploring barriers to adoption of Virtual Reality through Social Media Analytics and Machine Learning - An assessment of technology, network, price and trialability",Retail / Marketing,Image of VR / Use of VR,
10.1016/j.archger.2019.05.008,Vestibular rehabilitation in older adults with and without mild cognitive impairment: Effects of virtual reality using a head-mounted display,Medizin,Rehabilitation / Treatment,
10.1016/j.simpat.2019.03.005,AR-PED: A framework of augmented reality enabled pedestrian-in-the-loop simulation,,,
10.1108/JET-12-2018-0057,User-centred design of an active computer gaming system for strength and balance exercises for older adults,Softwareentwicklung,Rehabilitation / Treatment,
10.3389/fpsyg.2019.01330,Age-Related Differences With Immersive and Non-immersive Virtual Reality in Memory Assessment,Psychology / Human factors,Memory Assessment,
10.1080/00140139.2019.1582805,Comparison of visual fatigue caused by head-mounted display for virtual reality and two-dimensional display using objective and subjective evaluation,Ergonomie,Cybersickness / Fatigue,
10.1016/j.cag.2019.03.018,User color temperature preferences in immersive virtual realities,Psychology / Human factors,Visual perception,
10.1007/s11277-018-5382-5,Interactive Physiotherapy: An Application Based on Virtual Reality and Bio-feedback,Human biology,Rehabilitation / Treatment,Oculus Rift
10.1007/s41064-019-00065-0,Duisburg 1566: Transferring a Historic 3D City Model from Google Earth into a Virtual Reality Application,Archv§ologie / Museen,Model design,
10.3928/02793695-20190430-01,Virtual Reality for Individuals With Substance Use Disorders,Psychology / Human factors,Rehabilitation / Treatment,
10.1177/1553350618822860,A Virtual Reality Environment to Visualize Three-Dimensional Patient-Specific Models by a Mobile Head-Mounted Display,Medizin,Training,Samsung Gear VR
10.1007/s10055-018-0371-2,Assessing hands-free interactions for VR using eye gaze and electromyography,Hardwareentwicklung und Evaluation,Control of VR / Human-Computer Interface,
10.1007/s10055-018-0374-z,Real-time body tracking in virtual reality using a Vive tracker,Hardwareentwicklung und Evaluation,Tracking / Motion Capturing (Evaluation),HTC Vive
10.1016/j.future.2018.02.029,Evaluating the effects of collaboration and competition in navigation tasks and spatial knowledge acquisition within virtual reality environments,Psychology / Human factors,Movement / Navigation,Oculus Rift CV1
10.1200/JGO.18.00263,Using Low-Cost Virtual Reality Simulation to Build Surgical Capacity for Cervical Cancer Treatment,Medizin,Training,Oculus Rift
10.1002/cav.1880,Screwing assembly oriented interactive model segmentation in HMD VR environment,Softwareentwicklung,Assembly,
10.3390/info10050177,Development of a Virtual Reality-Based Game Approach for Supporting Sensory Processing Disorders Treatment,Medizin,Rehabilitation / Treatment,
10.1097/NNE.0000000000000570,Evaluating the Usability of a Second-Generation Virtual Reality Game for Refreshing Sterile Urinary Catheterization Skills,Medizin,Training,Oculus Rift
10.1109/TVCG.2019.2898782,VR Exploration Assistance through Automatic Occlusion Removal,Softwareentwicklung,Movement / Navigation,HTC Vive
10.1016/j.future.2018.11.041,Estimating VR Sickness and user experience using different HMD technologies: An evaluation study,Hardwareentwicklung und Evaluation,Cybersickness / Fatigue,
10.1016/j.apacoust.2018.12.037,Subjective and objective evaluation of water-supply and drainage noises in apartment buildings by using a head-mounted display,Bauwesen / Architektur,Perception of Sound,Samsung Gear VR
10.1016/j.jretconser.2019.01.010,Consumer perceptions and purchase behavior toward imperfect fruits and vegetables in an immersive virtual reality grocery store,Retail / Marketing,Perception of prodcuts,
10.1016/j.jbiomech.2019.02.015,Feasibility of using a fully immersive virtual reality system for kinematic data collection,Hardwareentwicklung und Evaluation,Tracking / Motion Capturing (Evaluation),
10.1016/j.jbmt.2019.02.012,The role of EEG and EMG combined virtual reality gaming system in facial palsy rehabilitation - A case report,Medizin,Rehabilitation / Treatment,
10.1002/jsid.765,Aligning content rendering resolution and feature size with display capability in near-eye display systems,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.3390/sym11040476,A Study on the Presence of Immersive User Interface in Collaborative Virtual Environments Application,Medizin,Rehabilitation,
10.1177/1354856517738171,"Far from paradise: The body, the apparatus and the image of contemporary virtual reality",VR Allgemein,Image of VR / Use of VR,
10.1089/end.2018.0626,Pilot Assessment of Immersive Virtual Reality Renal Models as an Educational and Preoperative Planning Tool for Percutaneous Nephrolithotomy,Medizin,Visualisation,Oculus Rift
10.1016/j.jcde.2018.05.006,"Navigation modes, operation methods, observation scales and background options in UI design for high learning performance in VR-based architectural applications",Bauwesen / Architektur,Movement / Navigation,HTC Vive
10.1016/j.cpc.2018.11.013,NOMAD VR: Multiplatform virtual reality viewer for chemistry simulations,Chemistry,Software development,
10.1016/j.chb.2018.12.018,The impact of immersion on the perception of pornography: A virtual reality study,Psychology,Effect of Immersion,
10.24507/ijicic.15.02.591,IMMERSIVE VIRTUAL REALITY SUPPORTING CONTENT FOR EVALUATING INTERFACE USING OCULUS RIFT AND LEAP MOTION,Manufacturing,Assembly,Oculus Rift CV1
10.1109/LRA.2018.2888628,Fluidic Elastomer Actuators for Haptic Interactions in Virtual Reality,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,
10.1371/journal.pone.0214603,Sound source localization with varying amount of visual information in virtual reality,Hardwareentwicklung und Evaluation,Perception of Sound,
10.1016/j.jbiomech.2019.02.004,Head mounted displays for capturing head kinematics in postural tasks,Hardwareentwicklung und Evaluation,Tracking / Motion Capturing (Evaluation),
10.3332/ecancer.2019.910,Creating a low-cost virtual reality surgical simulation to increase surgical oncology capacity and capability,Medizin,Training,Oculus Rift
10.3390/su11061605,Research on 3D Painting in Virtual Reality to Improve Students' Motivation of 3D Animation Learning,Softwareentwicklung,Training,HTC Vive
10.1186/s13673-019-0169-6,Infrared bundle adjusting and clustering method for head-mounted display and Leap Motion calibration,Hardwareentwicklung und Evaluation,Tracking / Motion Capturing (Evaluation),Oculus Rift
10.1007/s11042-018-6403-9,New design and comparative analysis of smartwatch metaphor-based hand gestures for 3D navigation in mobile virtual reality,Hardwareentwicklung und Evaluation,Movement / Navigation,Google Cardboard & Oculus Rift DK2
10.3390/s19051121,"Real-Time Eyeblink Detector and Eye State Classifier for Virtual Reality (VR) Headsets (Head-Mounted Displays, HMDs)",Softwareentwicklung,Tracking / Motion Capturing (Evaluation),
10.1007/s10209-017-0581-5,Immersive 360 degrees video user experience: impact of different variables in the sense of presence and cybersickness,Hardwareentwicklung und Evaluation,Cybersickness / Fatigue,
10.1007/s10055-018-0346-3,Virtual memory palaces: immersion aids recall,Medizin,Memory Assessment,Oculus DK2
10.1007/s10055-018-0364-1,Verification of the possibility and effectiveness of experiential learning using HMD-based immersive VR technologies,Hardwareentwicklung und Evaluation,Training,HTC Vive
10.1007/s11548-018-1814-7,Head-mounted display augmented reality to guide pedicle screw placement utilizing computed tomography,,,
10.1037/neu0000517,Neuropsychological Assessment of Visual Selective Attention and Processing Capacity With Head-Mounted Displays,Medizin,Visual perception,HTC Vive
10.1016/j.buildenv.2018.12.054,Downstairs resident classification characteristics for upstairs walking vibration noise in an apartment building under virtual reality environment,Bauwesen / Architektur,Perception of Sound,
10.1186/s12859-019-2666-z,BioVR: a platform for virtual reality assisted biological data integration and visualization,Biologie / Chemie,Visualisation,
10.1167/tvst.8.1.23,Preliminary Evaluation of Two Digital Image Processing Strategies for Head-Mounted Magnification for Low Vision Patients,,,
10.1002/jsid.747,Vision-tangible interactive display method for mixed and virtual reality: Toward the human-centered editable reality,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,Oculus Rift
10.1002/jsid.750,Subjective and objective evaluation of visual fatigue caused by continuous and discontinuous use of HMDs,Medizin,Cybersickness / Fatigue,
10.1109/TCE.2018.2879065,A QoE and Simulator Sickness Evaluation of a Smart-Exercise-Bike Virtual Reality System via User Feedback and Physiological Signals,Hardwareentwicklung und Evaluation,Cybersickness / Fatigue,
10.1119/1.5080224,Electromagnetic field visualization in virtual reality,Ingenieurwesen / Physik,Visualisation,HTC Vive
10.1088/1741-2552/aaed17,Tracking feature-based attention,Human biology,Visual perception,Oculus Rift DK 2
10.1016/j.future.2018.08.049,Influence of video content type on users' virtual reality sickness perception and physiological response,Hardwareentwicklung und Evaluation,Cybersickness / Fatigue,"Oculus Rift, Samsung GearVR"
10.1364/OE.27.001164,Hybrid light field head-mounted display using time-multiplexed liquid crystal lens array for resolution enhancement,Hardwareentwicklung und Evaluation,Visual perception,
10.1016/j.buildenv.2018.11.004,Three-dimensional virtual reality-based subjective evaluation of road traffic noise heard in urban high-rise residential buildings,Bauwesen / Architektur,Perception of Sound,
10.1177/1046878118820905,Virtual Reality Simulation Technology for Cardiopulmonary Resuscitation Training: An Innovative Hybrid System With Haptic Feedback,Medizin,Training,HTC Vive
10.1080/07370024.2016.1243478,The Perceptual Quality of the Oculus Rift for Immersive Virtual Reality,Hardwareentwicklung und Evaluation,Evaluation of VR systems,Oculus Rift
10.1080/10447318.2018.1429061,Virtual Reality Interfaces for Interacting with Three-Dimensional Graphs,Hardwareentwicklung und Evaluation,Visualisation,Oculust Rift
10.3233/ICA-180586,An online brain-computer interface in mobile virtual reality environments,Hardwareentwicklung und Evaluation,Control of VR / Human-Computer Interface,HTC Vive
10.1109/ACCESS.2019.2934990,Development of Virtual Reality Serious Game for Underground Rock-Related Hazards Safety Training,Mining,Training,HTC Vive
10.3233/VES-190660,A Smartphone-based gaming system for vestibular rehabilitation: A usability study,Medizin,Rehabilitation,
10.1016/j.ijleo.2019.01.083,Miniaturization design of head-mounted display optical system based on double threshold method for virtual reality,Hardwareentwicklung und Evaluation,Hardware development,
10.1080/15980316.2019.1567612,Do users Perceive the same image differently? Comparison of OLED and LCD in mobile HMDs and smartphones,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1109/ACCESS.2019.2905143,The Introduction of a Novel Virtual Reality Training System for Gynecology Learning and Its User Experience Research,Medizin,Training,HTC Vive
10.3991/ijoe.v15i06.9933,An Interactive Mixed Reality Ray Tracing Rendering Mobile Application of Medical Data in Minimally Invasive Surgeries,Medizin,Software development,
10.1016/j.jbi.2018.11.012,An interactive and low-cost full body rehabilitation framework based on 3D immersive serious games,Medizin,Rehabilitation,
10.1109/ACCESS.2019.2897018,Prototyping a Digital Twin for Real Time Remote Control Over Mobile Networks: Application of Remote Surgery,Hardwareentwicklung und Evaluation,Remote Control / Digital Twin,HTC Vive
10.1109/ACCESS.2018.2878237,Walking Simulation for VR Game Character Using Remote Sensoring Device Based on AHRS-Motion Recognition,Hardwareentwicklung und Evaluation,Control of VR / Human-Computer Interface,HTC Vive
10.1016/j.jvcir.2018.11.039,ImmerTai: Immersive Motion Learning in VR Environments,Medizin,Training,Oculus Rift
10.1515/sjpain-2018-0123,The effects of auditory background noise and virtual reality technology on video game distraction analgesia,Medizin,Perception of Pain / Discomfort,
10.1016/j.apergo.2018.08.012,An evaluation for VR glasses system user experience: The influence factors of interactive operation and motion sickness,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1016/j.compedu.2018.09.015,Investigating learning outcomes and subjective experiences in 360-degree videos,Hardwareentwicklung und Evaluation,Training,Oculus Rift
10.1115/1.4041428,Efficacy Investigation of Virtual Reality Teaching Module in Manufacturing System Design Course,Manufacturing,Training,Oculus Rift
10.1177/0361198118758311,Virtual Reality Headset Training: Can It Be Used to Improve Young Drivers' Latent Hazard Anticipation and Mitigation Skills,Psychology,Training,Oculus Rift
10.18383/j.tom.2018.00053,Evaluation of Virtual Reality for Detection of Lung Nodules on Computed Tomography,Medizin,Visualisation,HTC Vive
10.1109/TCDS.2018.2828865,Action Augmented Real Virtuality: A Design for Presence,Hardwareentwicklung und Evaluation,Collaboration,
10.1088/1741-2552/aadd55,A head mounted device stimulator for optogenetic retinal prosthesis,Medizin,Rehabilitation,
10.3389/fpsyg.2018.02265,Virtual Reality Analgesia for Pediatric Dental Patients,Medizin,Perception of Pain / Discomfort,Oculus Rift
10.1108/JCHMSD-09-2017-0067,"The historic wooden model of Solomon's Temple 3D recording, modelling and immersive virtual reality visualisation",Archv§ologie / Museen,Model design,HTC Vive
10.3389/fpsyg.2018.02086,"The Past, Present, and Future o f Virtual and Augmented Reality Research: A Network and Cluster Analysis of the Literature",,,
10.1145/3265755,Project Star Catcher: A Novel Immersive Virtual Reality Experience for Upper Limb Rehabilitation,Medizin,Rehabilitation,HTC Vive
10.6036/8816,Machining optimization of large casting components by remote monitoring and 3D visualization techniques,,,
10.1109/TVCG.2018.2868527,"Towards Fully Mobile 3D Face, Body, and Environment Capture Using Only Head-worn Cameras",Hardwareentwicklung und Evaluation,Hardware development,
10.1109/TMM.2018.2829187,Efficient Audio Rendering Using Angular Region-Wise Source Enhancement for 360 degrees Video,Hardwareentwicklung und Evaluation,Perception of Sound,
10.1007/s10055-017-0329-9,Self-reported discomfort when using commercially targeted virtual reality equipment in discomfort distraction,Psychology,Collaboration,Oculus Rift
10.1186/s13673-018-0154-5,User-elicited dual-hand interactions for manipulating 3D objects in virtual reality environments,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,HTC Vive
10.1049/htl.2018.5077,Multiuser virtual reality environment for visualising neuroimaging data,Medizin,Visualisation,HTC Vive
10.1007/s11042-018-5730-1,VRheab: a fully immersive motor rehabilitation system based on recurrent neural network,Medizin,Rehabilitation,
10.30773/pi.2018.06.28.3,Spatial Learning and Memory Using a Radial Arm Maze with a Head-Mounted Display,Medizin,Memory Assessment,Oculus Rift DK2
10.1089/cyber.2017.0714,Pain Distraction During Ambulatory Surgery: Virtual Reality and Mobile Devices,Medizin,Perception of Pain / Discomfort,
10.1089/g4h.2017.0190,Factors Affecting Enjoyment of Virtual Reality Games: A Comparison Involving Consumer-Grade Virtual Reality Technology,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1016/j.apergo.2018.03.015,Effects of unexpected visual motion on postural sway and motion sickness,Hardwareentwicklung und Evaluation,Cybersickness / Fatigue,
10.1016/j.chb.2018.04.036,The effects of appearance and motion of virtual characters on emotional reactivity,Psychology,Visual perception,
10.1016/j.ijom.2018.01.005,An innovative virtual reality training tool for orthognathic surgery,Medizin,Training,Oculus Rift
10.3390/electronics7090171,Time Sequential Motion-to-Photon Latency Measurement System for Virtual Reality Head-Mounted Displays,Softwareentwicklung,Cybersickness / Fatigue,
10.1016/j.rehab.2018.07.003,Modulating the internal model of verticality by virtual reality and body-weight support walking: A pilot study,Medizin,Rehabilitation,Oculus Rift DK2
10.3390/sym10090400,Change of Blink Rate in Viewing Virtual Reality with HMD,Medizin,Measurement of body functions,
10.1007/s00024-017-1755-z,Geovisualisation of Relief in a Virtual Reality System on the Basis of Low-Level Aerial Imagery,Softwareentwicklung,Visualisation,
10.1007/s00371-018-1501-2,Virtual reality's effect on parameter optimisation for crowd-sourced procedural animation,Softwareentwicklung,Software development,
10.1109/TVCG.2017.2754257,A Survey of Calibration Methods for Optical See-Through Head-Mounted Displays,,,
10.1016/j.aap.2018.06.003,Get ready for automated driving using Virtual Reality,Manufacturing,Training,HTC Vive
10.1007/s11042-017-5328-z,A system for head-neck rehabilitation exercises based on serious gaming and virtual reality,Medizin,Rehabilitation,Oculus Rift
10.1145/3230648,Behavior Analysis of Human Locomotion in the Real World and Virtual Reality for the Manufacturing Industry,Manufacturing,Movement / Navigation,HTC Vive
10.1145/3232678,A Network-Based Virtual Reality Simulation Training Approach for Orthopedic Surgery,Medizin,Training,HTC Vive
10.1017/S1754470X18000090,Two case studies from a virtual reality intervention for delusions: feasibility and preliminary evidence,Psychology,Rehabilitation,
10.1371/journal.pone.0200724,"The same video game in 2D, 3D or virtual reality - How does technology impact game evaluation and brand placements?",Hardwareentwicklung und Evaluation,Perception of prodcuts,
10.11999/JEIT170995,Research and Implementation on Flower Plants Rendering Technology Based on Physical Light Simulation for VR Application,,,
10.1016/j.jocs.2018.05.002,Real-time automated image segmentation technique for cerebral aneurysm on reconfigurable system-on-chip,Medizin,Visualisation,
10.18559/ebr.2018.3.4,"Virtual reality in marketing communication - the impact on the message, technology and offer perception - empirical study",Retail / Marketing,Perception of prodcuts,Oculus Rift
10.1016/j.culher.2018.01.020,ReVitAge: Realistic virtual heritage taking shadows and sky illumination into account,Archv§ologie / Museen,Model design,
10.1145/3182644,FaceVR: Real-Time Gaze-Aware Facial Reenactment in Virtual Reality,Softwareentwicklung,Measurement of body functions,
